ID,type,flag,nominal,value,tolerance,upper_bound,lower_bound
1,Length,False,8,8,general,,
2,Length,False,9.6,9.6,general,,
3,Length,True,⌀95±01,⌀95,,+01,-01
4,Length,True,26,26,general,,
5,Length,False,8.4,8.4,general,,
6,Length,True,2.6,2.6,general,,
7,Length,True,⌀9,⌀9,general,,
8,Length,False,.±x0,.,,+x0,-x0
9,Length,False,4,4,general,,
10,Length,False,59./,59./,general,,
11,Length,True,82,82,general,,
12,Length,True,26,26,general,,
13,Length,True,.32.4,.32.4,general,,
14,Length,False,8,8,general,,
15,Length,True,6.85,6.85,general,,
16,Length,True,8.4,8.4,general,,
17,Length,True,n9,n9,general,,
18,Length,True,).(±.5.,).(,,+.5.,-.5.
19,Length,True,88±02,88,,+02,-02
20,Length,True,°.(0G±m,°.(0G,,+m,-m
21,Length,True,x2)0./7±0.1,x2)0./7,,+0.1,-0.1
